Dispatch_Date,AGGRAVATED ASSAULT,MISC,MOTOR VEHICLE THEFT,BURGLARY,ARSON,ROBBERY,RAPE,DRUG OFFENSE,MURDER AND NON-NEGLIGENT MANSLAUGHTER
2006-07-29,108,300,129,27,0,38,9,47,2
2006-07-30,96,263,117,31,0,36,6,33,1
2006-07-31,110,335,171,44,0,30,1,32,1
2006-08-01,99,370,136,33,3,33,6,48,0
2006-08-02,86,387,144,35,1,33,4,43,1
2006-08-03,80,338,135,31,1,29,6,48,0
2006-08-04,99,257,117,31,5,25,7,45,3
2006-08-05,101,269,116,31,0,37,3,46,0
2006-08-06,127,300,128,37,3,29,5,38,0
2006-08-07,95,327,207,44,1,34,5,39,0
2006-08-08,115,484,136,35,2,24,2,79,0
2006-08-09,111,355,143,36,0,37,1,55,0
2006-08-10,101,353,153,34,0,30,2,56,0
2006-08-11,82,338,146,37,0,36,3,47,4
2006-08-12,93,366,107,30,0,38,2,46,0
2006-08-13,100,368,134,31,2,25,2,39,0
2006-08-14,84,341,155,47,3,27,4,30,0
2006-08-15,99,445,139,39,4,30,4,59,0
2006-08-16,93,456,163,42,1,25,3,58,1
2006-08-17,110,421,155,37,3,34,4,52,1
2006-08-18,110,335,169,37,2,19,0,53,2
2006-08-19,104,302,134,35,1,36,3,48,1
2006-08-20,119,311,100,24,4,31,5,47,1
2006-08-21,114,338,176,53,0,35,1,40,0
2006-08-22,95,388,141,38,3,31,2,58,0
2006-08-23,102,372,172,26,1,35,2,59,3
2006-08-24,89,378,154,33,1,28,2,57,1
2006-08-25,102,332,130,48,1,29,2,37,0
2006-08-26,103,239,132,36,2,28,3,45,0
2006-08-27,94,261,149,38,2,35,5,42,0
2006-08-28,78,252,160,48,3,36,5,26,0
2006-08-29,106,338,155,33,1,32,0,47,1
2006-08-30,72,292,142,32,0,30,0,51,1
2006-08-31,84,349,173,38,1,27,4,46,3
2006-09-01,58,261,133,36,3,22,1,40,0
2006-09-02,67,178,138,28,1,25,2,31,1
2006-09-03,103,356,154,28,2,34,2,58,1
2006-09-04,105,303,135,32,1,19,4,35,3
2006-09-05,88,308,162,42,2,32,0,48,0
2006-09-06,84,354,161,37,0,23,2,49,1
2006-09-07,99,321,136,32,1,31,4,53,2
2006-09-08,91,254,172,33,1,29,1,49,1
2006-09-09,121,240,136,33,0,29,2,40,0
2006-09-10,139,271,153,20,2,18,2,47,0
2006-09-11,86,260,166,33,3,26,3,37,0
2006-09-12,97,278,161,32,2,18,1,65,0
2006-09-13,107,244,141,31,1,24,7,68,1
2006-09-14,83,219,138,44,1,27,3,47,0
2006-09-15,112,238,143,31,1,35,2,41,1
2006-09-16,119,344,128,37,1,33,3,59,1
2006-09-17,135,357,154,25,0,36,1,42,1
2006-09-18,134,276,140,38,3,21,7,39,0
2006-09-19,117,318,165,37,4,31,1,55,1
2006-09-20,114,285,155,32,1,32,3,60,3
2006-09-21,111,317,132,40,2,25,2,42,0
2006-09-22,111,243,144,31,1,34,3,47,4
2006-09-23,109,260,126,27,0,26,4,57,2
2006-09-24,115,268,148,29,0,31,1,32,4
2006-09-25,97,265,160,49,1,29,6,33,1
2006-09-26,116,394,144,34,1,27,5,57,1
2006-09-27,114,331,151,35,0,31,4,61,1
