Day,AGGRAVATED ASSAULT,MISC,MOTOR VEHICLE THEFT,BURGLARY,ARSON,ROBBERY,RAPE,DRUG OFFENSE,MURDER AND NON-NEGLIGENT MANSLAUGHTER
03-11,102.81818181818181,249.72727272727272,103.27272727272727,28.09090909090909,1.4545454545454546,20.272727272727273,2.6363636363636362,55.0,1.3636363636363635
03-12,97.0909090909091,241.0909090909091,108.45454545454545,24.636363636363637,1.2727272727272727,20.818181818181817,1.4545454545454546,51.54545454545455,1.3636363636363635
03-13,92.81818181818181,229.45454545454547,98.63636363636364,24.272727272727273,1.7272727272727273,20.09090909090909,3.1818181818181817,52.63636363636363,0.7272727272727273
03-14,98.27272727272727,241.9090909090909,103.81818181818181,24.636363636363637,1.5454545454545454,18.09090909090909,2.4545454545454546,48.54545454545455,0.8181818181818182
03-15,95.9090909090909,250.1818181818182,106.36363636363636,27.09090909090909,1.4545454545454546,16.545454545454547,3.909090909090909,51.63636363636363,0.5454545454545454
03-16,92.9090909090909,233.8181818181818,98.54545454545455,21.818181818181817,2.0,19.181818181818183,2.3636363636363638,46.0,0.5454545454545454
03-17,87.9090909090909,226.9090909090909,98.45454545454545,25.181818181818183,0.8181818181818182,17.454545454545453,3.0,49.81818181818182,1.0
03-18,103.0909090909091,245.8181818181818,107.45454545454545,25.0,1.7272727272727273,18.363636363636363,3.6363636363636362,53.90909090909091,0.8181818181818182
03-19,97.72727272727273,239.1818181818182,106.27272727272727,25.818181818181817,1.1818181818181819,19.09090909090909,4.0,47.45454545454545,0.36363636363636365
03-20,99.0,242.72727272727272,103.54545454545455,27.454545454545453,1.7272727272727273,17.363636363636363,2.6363636363636362,52.18181818181818,0.7272727272727273
03-21,96.81818181818181,252.9090909090909,108.36363636363636,25.818181818181817,1.2727272727272727,19.818181818181817,2.5454545454545454,52.45454545454545,0.7272727272727273
03-22,93.63636363636364,238.27272727272728,108.63636363636364,23.727272727272727,1.5454545454545454,15.909090909090908,2.090909090909091,48.90909090909091,1.1818181818181819
03-23,94.63636363636364,230.0,108.81818181818181,26.09090909090909,1.5454545454545454,19.09090909090909,3.272727272727273,47.45454545454545,0.9090909090909091
03-24,93.27272727272727,245.1818181818182,107.54545454545455,25.636363636363637,1.4545454545454546,21.09090909090909,2.1818181818181817,56.72727272727273,1.0
03-25,92.27272727272727,236.72727272727272,105.9090909090909,24.636363636363637,1.0,21.181818181818183,2.090909090909091,54.90909090909091,0.8181818181818182
03-26,99.0909090909091,234.0909090909091,111.18181818181819,27.181818181818183,1.7272727272727273,20.636363636363637,2.0,54.09090909090909,1.0909090909090908
03-27,94.18181818181819,241.27272727272728,103.0,25.454545454545453,1.5454545454545454,19.272727272727273,3.090909090909091,53.54545454545455,0.9090909090909091
03-28,91.63636363636364,245.63636363636363,110.0,28.09090909090909,1.2727272727272727,20.0,3.272727272727273,48.27272727272727,1.0
03-29,97.45454545454545,232.72727272727272,102.9090909090909,23.181818181818183,1.3636363636363635,18.0,3.0,49.27272727272727,0.6363636363636364
03-30,100.63636363636364,232.54545454545453,110.45454545454545,23.636363636363637,1.0,20.09090909090909,2.4545454545454546,49.09090909090909,1.1818181818181819
03-31,94.81818181818181,239.9090909090909,105.54545454545455,26.727272727272727,1.3636363636363635,19.727272727272727,2.5454545454545454,51.45454545454545,0.7272727272727273
04-01,92.54545454545455,248.63636363636363,107.81818181818181,24.818181818181817,1.5454545454545454,24.90909090909091,3.0,60.18181818181818,0.7272727272727273
04-02,92.9090909090909,263.1818181818182,105.36363636363636,23.181818181818183,1.6363636363636365,19.636363636363637,2.8181818181818183,58.0,0.36363636363636365
04-03,90.63636363636364,256.0,101.81818181818181,24.09090909090909,1.2727272727272727,19.363636363636363,3.4545454545454546,57.09090909090909,0.6363636363636364
04-04,89.36363636363636,270.90909090909093,113.0,24.636363636363637,1.6363636363636365,20.90909090909091,2.8181818181818183,51.72727272727273,0.2727272727272727
04-05,91.0909090909091,267.54545454545456,108.63636363636364,23.272727272727273,1.0,16.636363636363637,1.8181818181818181,52.90909090909091,0.2727272727272727
04-06,95.63636363636364,250.36363636363637,110.63636363636364,23.09090909090909,0.8181818181818182,20.545454545454547,2.8181818181818183,54.36363636363637,1.0
04-07,94.18181818181819,271.3636363636364,112.45454545454545,26.727272727272727,1.4545454545454546,21.818181818181817,2.727272727272727,56.63636363636363,0.9090909090909091
04-08,94.27272727272727,245.54545454545453,104.18181818181819,26.636363636363637,1.5454545454545454,22.272727272727273,2.727272727272727,52.81818181818182,0.45454545454545453
04-09,94.81818181818181,275.1818181818182,110.0,26.454545454545453,1.9090909090909092,20.363636363636363,2.272727272727273,55.63636363636363,1.0
04-10,103.0909090909091,253.45454545454547,109.0,27.90909090909091,1.7272727272727273,20.545454545454547,2.6363636363636362,56.45454545454545,0.6363636363636364
04-11,95.81818181818181,250.36363636363637,108.18181818181819,25.545454545454547,1.2727272727272727,22.09090909090909,3.272727272727273,50.81818181818182,0.8181818181818182
04-12,96.54545454545455,255.0909090909091,106.45454545454545,26.90909090909091,1.1818181818181819,22.0,3.4545454545454546,50.81818181818182,1.0
04-13,106.54545454545455,257.72727272727275,110.81818181818181,27.272727272727273,0.9090909090909091,21.727272727272727,3.272727272727273,53.81818181818182,1.1818181818181819
