Occurred Date,AGGRAVATED ASSAULT,DRUG OFFENSE,MURDER AND NON-NEGLIGENT MANSLAUGHTER,RAPE,MISC,BURGLARY,LARCENY-THEFT,MOTOR VEHICLE THEFT,ARSON
2015-10-11,2,3,1,5,45,11,29,8,0
2015-10-12,5,2,0,5,62,23,36,9,3
2015-10-13,6,5,0,1,46,17,35,4,0
2015-10-14,4,5,0,1,47,23,37,13,0
2015-10-15,9,9,0,1,54,23,39,6,1
2015-10-16,6,2,0,0,70,23,43,11,0
2015-10-17,2,2,0,4,52,12,32,10,0
2015-10-18,3,3,0,1,68,12,37,8,1
2015-10-19,6,2,0,1,69,30,31,6,1
2015-10-20,4,3,0,5,40,28,35,6,1
2015-10-21,4,1,0,8,63,14,38,11,0
2015-10-22,9,1,0,2,56,27,42,16,0
2015-10-23,7,7,0,3,70,21,48,13,0
2015-10-24,4,3,1,3,45,23,43,14,0
2015-10-25,5,1,0,1,59,19,35,14,1
2015-10-26,5,1,0,2,67,15,38,18,0
2015-10-27,5,6,0,2,54,25,34,13,0
2015-10-28,5,3,0,1,56,30,43,9,0
2015-10-29,6,7,0,5,59,20,45,6,0
2015-10-30,4,2,0,1,76,29,31,14,0
2015-10-31,5,2,0,0,75,22,34,14,3
2015-11-01,9,1,0,8,72,21,42,10,0
2015-11-02,3,6,0,0,58,22,33,9,0
2015-11-03,5,2,0,2,61,21,41,7,1
2015-11-04,9,6,0,0,66,22,47,11,0
2015-11-05,7,3,0,0,59,23,41,8,0
2015-11-06,4,6,0,1,70,16,42,8,0
2015-11-07,6,2,0,1,65,20,34,14,0
2015-11-08,3,2,0,2,54,28,30,6,0
2015-11-09,5,4,0,2,64,20,24,9,0
2015-11-10,7,5,0,0,41,18,33,8,0
2015-11-11,4,1,0,3,56,15,29,1,0
2015-11-12,6,5,0,2,50,28,29,13,0
2015-11-13,5,1,0,2,54,32,35,10,0
2015-11-14,2,0,0,4,48,19,29,8,0
2015-11-15,10,2,0,2,52,22,34,8,1
2015-11-16,7,3,0,1,60,30,33,6,1
2015-11-17,9,5,0,1,40,23,43,9,0
2015-11-18,1,2,0,1,65,29,36,10,0
2015-11-19,9,6,0,3,58,27,39,8,0
2015-11-20,4,3,0,5,68,25,41,3,0
2015-11-21,4,2,0,2,59,21,33,3,0
2015-11-22,12,0,0,2,74,18,34,8,1
2015-11-23,7,3,0,4,61,26,34,16,0
2015-11-24,5,2,0,1,74,27,44,7,0
2015-11-25,6,2,0,1,79,26,55,13,0
2015-11-26,4,2,0,1,40,24,22,13,0
2015-11-27,2,0,0,3,43,18,37,9,0
2015-11-28,8,2,0,2,56,16,35,7,0
2015-11-29,3,1,0,3,62,22,30,16,1
2015-11-30,6,3,0,1,54,21,51,11,0
2015-12-01,8,2,0,2,57,27,65,23,0
2015-12-02,2,3,0,1,53,28,36,9,0
2015-12-03,3,7,0,0,53,23,48,14,0
2015-12-04,4,2,0,2,53,22,50,15,0
2015-12-05,3,2,0,3,42,15,37,15,0
2015-12-06,9,0,1,2,58,16,29,24,0
2015-12-07,7,1,0,0,43,30,45,14,0
2015-12-08,2,5,0,0,54,26,30,15,0
2015-12-09,4,2,0,1,45,27,45,8,0
2015-12-10,4,4,0,4,45,33,51,11,0
2015-12-11,7,5,0,4,63,22,39,20,0
2015-12-12,6,1,0,2,45,28,35,12,0
2015-12-13,8,0,1,0,56,17,35,14,0
2015-12-14,6,2,0,2,57,30,39,18,0
2015-12-15,6,1,0,2,62,24,45,14,0
2015-12-16,5,5,0,3,50,26,47,13,1
2015-12-17,4,3,0,2,56,21,37,15,1
2015-12-18,4,1,0,0,59,27,47,15,0
2015-12-19,8,3,0,2,52,15,44,14,0
2015-12-20,4,0,0,2,50,30,32,15,0
2015-12-21,7,2,0,2,53,23,38,10,0
2015-12-22,4,3,0,1,54,24,42,9,0
2015-12-23,8,4,0,0,57,19,47,7,0
2015-12-24,4,3,0,1,43,25,44,15,0
2015-12-25,4,1,0,1,39,21,16,6,2
2015-12-26,7,0,0,0,62,20,33,6,1
2015-12-27,5,2,0,0,36,13,30,12,1
2015-12-28,10,0,0,0,42,15,28,11,0
2015-12-29,4,4,0,1,42,17,43,11,0
2015-12-30,7,4,0,0,47,19,47,12,0
2015-12-31,5,4,0,1,39,24,38,15,0
2016-01-01,12,3,0,14,56,27,49,14,0
2016-01-02,7,4,0,0,70,10,35,10,1
2016-01-03,7,0,0,2,46,13,19,14,0
2016-01-04,7,6,0,5,49,15,28,10,0
