date,Offense Count,MISC,ARSON,AGGRAVATED ASSAULT,FRAUD,BURGLARY,DRUG OFFENSE,MURDER AND NON-NEGLIGENT MANSLAUGHTER,THEFT,MOTOR VEHICLE THEFT,RAPE
11/7/2015,175,29,4,15,11,10,8,0,55,14,0
11/7/2016,179,19,1,12,18,6,10,0,67,17,1
11/7/2017,169,22,1,24,11,15,7,2,54,9,1
11/8/2015,124,11,2,20,7,6,3,1,40,14,1
11/8/2016,166,20,0,12,15,13,2,0,62,17,3
11/8/2017,147,20,0,14,14,6,6,0,45,18,4
11/9/2015,156,14,0,19,19,13,3,0,46,12,2
11/9/2016,174,23,2,21,17,10,4,0,60,10,5
11/9/2017,168,11,1,17,15,17,9,0,59,24,1
12/1/2015,185,14,1,15,23,9,3,0,65,15,3
12/1/2016,198,21,1,22,28,10,4,0,62,16,2
12/1/2017,225,18,0,19,21,13,5,0,68,20,7
12/10/2015,150,13,1,20,9,13,7,0,54,18,0
12/10/2016,167,23,0,16,7,11,7,0,61,17,0
12/10/2017,164,20,0,16,13,6,2,0,59,19,2
12/11/2015,157,16,1,15,8,9,3,0,56,21,0
12/11/2016,143,20,0,13,13,12,4,0,48,15,1
12/11/2017,158,23,0,23,12,12,4,0,54,12,1
12/12/2015,178,20,1,19,9,7,3,0,67,15,2
12/12/2016,183,15,1,19,21,10,5,0,68,21,1
12/12/2017,174,19,1,11,18,23,6,0,51,19,0
12/13/2015,149,18,0,14,9,8,1,0,59,22,0
12/13/2016,163,8,3,8,12,15,4,0,67,23,1
12/13/2017,184,17,0,20,15,5,5,0,64,17,3
12/14/2015,174,19,0,20,16,13,6,0,65,13,2
12/14/2016,150,7,0,14,11,12,3,0,55,23,2
12/14/2017,189,29,2,17,16,12,8,0,60,14,2
12/15/2015,159,8,0,16,15,11,7,1,58,10,3
12/15/2016,122,7,2,4,16,7,2,0,49,14,2
12/15/2017,211,21,0,23,18,20,5,0,68,19,1
12/16/2015,156,15,0,13,15,6,6,0,59,15,1
