Date,BURGLARY_Austin,BURGLARY_Chicago,BURGLARY_LA,BURGLARY_Cities,THEFT_Austin,THEFT_Chicago,THEFT_LA,THEFT_Cities,AGGRASSAULT_Austin,AGGRASSAULT_Chicago,AGGRASSAULT_LA,AGGRASSAULT_Cities, RAPE_Austin,RAPE_Chicago,RAPE_LA,RAPE_Cities,MURDER_Austin,MURDER_Chicago,MURDER_LA,MURDER_Cities,MISC_Austin,MISC_Chicago,,,DRUG_Austin,DRUG_Chicago,,,FRAUD_Austin,FRAUD_Chicago
5/20/2016,12,59,92,163,82,89,92,263,4,163,147,314,3,6,11,20,1,3,1,5,0,177,,,0,52,,,0,30
5/21/2016,12,62,68,142,57,99,90,246,8,163,141,312,0,7,15,22,0,3,0,3,1,182,,,0,36,,,0,35
5/22/2016,17,55,90,162,58,98,71,227,16,185,146,347,3,7,3,13,0,1,2,3,0,159,,,0,48,,,0,18
5/23/2016,20,63,74,157,88,88,102,278,7,176,122,305,2,8,4,14,0,0,0,0,0,177,,,0,42,,,0,31
5/24/2016,11,58,88,157,64,104,95,263,3,173,116,292,2,3,7,12,0,1,1,2,1,184,,,0,43,,,0,33
5/25/2016,10,51,91,152,77,87,90,254,7,172,106,285,4,14,5,23,0,0,0,0,1,156,,,0,34,,,0,30
5/26/2016,19,50,90,159,87,94,86,267,9,173,121,303,0,8,9,17,0,2,1,3,1,170,,,0,41,,,0,26
5/27/2016,15,58,124,197,88,99,102,289,4,160,132,296,2,13,11,26,0,4,0,4,0,193,,,0,48,,,0,27
5/28/2016,25,49,82,156,78,101,80,259,8,177,116,301,2,10,10,22,0,3,1,4,0,181,,,0,48,,,0,25
5/29/2016,19,60,86,165,74,80,83,237,12,207,167,386,2,6,9,17,0,0,0,0,1,188,,,0,45,,,0,20
5/30/2016,20,60,77,157,64,105,65,234,8,203,155,366,2,6,13,21,0,2,0,2,0,180,,,0,42,,,0,24
5/31/2016,18,65,77,160,75,92,99,266,2,168,119,289,3,6,7,16,0,1,1,2,0,179,,,0,48,,,1,38
6/1/2016,14,54,90,158,87,98,124,309,8,172,142,322,5,19,33,57,0,4,3,7,13,195,,,0,45,,,3,41
6/2/2016,11,50,72,133,89,104,109,302,10,178,111,299,3,9,5,17,0,1,3,4,0,187,,,0,41,,,0,35
6/3/2016,16,54,94,164,89,84,100,273,8,181,138,327,2,9,6,17,0,2,0,2,0,182,,,0,56,,,0,36
6/4/2016,6,46,66,118,60,95,95,250,6,194,153,353,7,8,7,22,0,5,0,5,2,170,,,0,40,,,0,65
6/5/2016,17,54,74,145,63,90,62,215,9,183,128,320,2,6,5,13,1,3,0,4,0,151,,,0,41,,,0,44
6/6/2016,18,52,79,149,94,96,84,274,9,167,119,295,0,7,10,17,0,2,1,3,0,168,,,0,42,,,0,37
6/7/2016,16,61,67,144,83,87,85,255,5,174,118,297,3,3,7,13,0,0,1,1,1,167,,,0,47,,,0,48
6/8/2016,14,64,94,172,74,91,82,247,2,154,119,275,0,3,16,19,0,2,0,2,0,175,,,0,49,,,0,33
6/9/2016,14,42,109,165,97,86,95,278,4,149,109,262,1,11,9,21,0,1,0,1,1,170,,,0,37,,,0,45
6/10/2016,19,52,99,170,99,100,98,297,11,157,126,294,1,5,7,13,0,2,0,2,1,171,,,0,40,,,0,36
6/11/2016,15,40,104,159,70,108,74,252,7,187,124,318,2,5,5,12,0,4,3,7,0,177,,,0,37,,,0,41
6/12/2016,20,52,75,147,66,100,76,242,16,190,172,378,0,11,7,18,0,3,0,3,0,188,,,1,51,,,0,23
6/13/2016,25,51,86,162,87,100,83,270,10,176,110,296,3,7,8,18,0,1,5,6,0,178,,,0,33,,,0,41
6/14/2016,16,60,75,151,98,101,81,280,4,175,107,286,1,2,6,9,1,4,0,5,1,197,,,0,47,,,0,40
6/15/2016,12,68,87,167,76,94,97,267,7,165,112,284,3,5,5,13,0,1,0,1,0,181,,,0,47,,,0,39
6/16/2016,19,61,77,157,82,102,97,281,5,163,133,301,5,8,1,14,1,7,1,9,0,195,,,0,36,,,0,27
6/17/2016,22,56,100,178,55,108,100,263,11,178,123,312,3,12,3,18,0,2,1,3,0,192,,,0,38,,,0,40
6/18/2016,20,54,75,149,61,99,91,251,7,163,148,318,2,13,5,20,0,7,2,9,1,157,,,0,34,,,0,20
6/19/2016,13,63,71,147,48,100,75,223,7,205,171,383,3,7,6,16,0,3,0,3,0,161,,,1,22,,,0,22
6/20/2016,17,63,86,166,114,93,80,287,8,203,146,357,2,11,12,25,0,2,0,2,1,181,,,0,36,,,0,29
6/21/2016,22,51,88,161,110,105,89,304,5,173,132,310,3,9,2,14,0,1,0,1,0,182,,,0,33,,,1,35
6/22/2016,17,63,95,175,88,101,96,285,6,176,125,307,2,6,3,11,0,1,2,3,1,171,,,0,37,,,0,37
6/23/2016,24,69,82,175,90,108,85,283,5,171,128,304,4,11,5,20,0,2,2,4,1,166,,,0,44,,,0,35
6/24/2016,21,64,73,158,86,117,77,280,8,161,154,323,0,6,12,18,0,4,0,4,0,172,,,0,48,,,0,31
6/25/2016,16,59,100,175,59,101,92,252,7,187,143,337,3,5,6,14,1,1,0,2,0,192,,,0,30,,,0,27
6/26/2016,8,58,93,159,69,87,83,239,8,189,162,359,4,14,8,26,0,4,1,5,1,181,,,0,24,,,0,19
6/27/2016,17,61,89,167,98,92,97,287,8,172,162,342,1,9,8,18,1,2,0,3,1,166,,,0,41,,,0,31
6/28/2016,13,55,98,166,90,98,87,275,1,148,134,283,2,7,7,16,0,2,0,2,2,182,,,0,45,,,0,33
6/29/2016,11,61,65,137,91,96,73,260,5,170,141,316,4,4,5,13,0,3,2,5,0,178,,,0,42,,,0,39
6/30/2016,17,56,96,169,78,99,101,278,3,162,97,262,2,6,9,17,0,2,1,3,2,190,,,0,73,,,1,28
7/1/2016,18,69,102,189,78,95,130,303,5,155,131,291,4,12,27,43,1,2,0,3,8,211,,,0,60,,,0,46
7/2/2016,16,69,71,156,44,89,100,233,7,175,149,331,2,7,7,16,0,2,0,2,1,177,,,0,51,,,0,25
7/3/2016,15,57,88,160,71,88,68,227,5,177,142,324,3,7,8,18,0,1,0,1,0,184,,,0,51,,,0,22
