CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,HOUSING_PSA,JURISDICTION_CODE,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PATROL_BORO,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,STATION_NAME,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
444088244,115,QUEENS,10/5/2016,12:00:00,1/15/2018,13:20:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO QUEENS NORTH,420,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT",RESIDENCE-HOUSE,1/15/2018,,,,,,45-64,ASIAN/PAC.ISL,M,1012865,214524,40.75545726,-73.89671686,"(40.75545726, -73.896716864)"
752346414,68,BROOKLYN,10/6/2016,0:00:00,7/19/2017,0:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO BKLYN SOUTH,422,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",RESIDENCE-HOUSE,3/18/2018,,UNKNOWN,UNKNOWN,U,,25-44,ASIAN/PAC.ISL,F,984133,167097,40.62532737,-74.00042293,"(40.625327369, -74.000422925)"
891475203,40,BRONX,10/6/2016,10:46:00,10/6/2016,10:46:00,COMPLETED,,,0,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,,PATROL BORO BRONX,347,PETIT LARCENY-CHECK FROM MAILB,ATM,3/5/2018,,,,,,UNKNOWN,UNKNOWN,D,1007051,236736,40.81644015,-73.91762684,"(40.816440154, -73.917626838)"
835205733,70,BROOKLYN,10/6/2016,14:00:00,10/6/2016,14:30:00,COMPLETED,,,0,N.Y. POLICE DEPT,113,FELONY,INSIDE,FORGERY,,PATROL BORO BKLYN SOUTH,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",RESIDENCE - APT. HOUSE,2/12/2018,,,,,,65+,BLACK,F,996274,172558,40.6403085,-73.95667625,"(40.640308501, -73.956676245)"
776640196,25,MANHATTAN,10/7/2016,8:00:00,10/7/2016,18:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,,PATROL BORO MAN NORTH,739,"FRAUD,UNCLASSIFIED-FELONY",PUBLIC BUILDING,4/17/2018,,45-64,BLACK,F,,UNKNOWN,UNKNOWN,E,1001797,232216,40.80404601,-73.9366201,"(40.804046007, -73.936620103)"
469272106,28,MANHATTAN,10/7/2016,0:01:00,10/31/2016,23:59:00,COMPLETED,,,0,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,PATROL BORO MAN NORTH,175,"SEXUAL ABUSE 3,2",RESIDENCE - APT. HOUSE,3/27/2018,,,,,,45-64,WHITE,F,997376,233927,40.8087499,-73.95258581,"(40.808749904, -73.952585806)"
939006836,40,BRONX,10/12/2016,15:12:00,,,COMPLETED,,,1,N.Y. TRANSIT POLICE,121,FELONY,,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO BRONX,273,"TAMPERING 1,CRIMINAL",TRANSIT - NYC SUBWAY,4/9/2018,3 AVENUE-149 STREET,,,,12,UNKNOWN,UNKNOWN,E,1007034,236608,40.81608887,-73.91768869,"(40.816088874, -73.917688689)"
931276853,67,BROOKLYN,10/13/2016,9:00:00,10/14/2016,12:12:00,COMPLETED,,,0,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,,PATROL BORO BKLYN SOUTH,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE-HOUSE,5/17/2018,,UNKNOWN,UNKNOWN,U,,25-44,BLACK,M,1002625,171843,40.63833508,-73.93379411,"(40.63833508, -73.933794106)"
650350409,71,BROOKLYN,10/13/2016,12:00:00,12/21/2017,13:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO BKLYN SOUTH,432,"LARCENY,GRAND BY IDENTITY THEFT-UNCLASSIFIED",RESIDENCE - APT. HOUSE,4/21/2018,,UNKNOWN,UNKNOWN,F,,25-44,BLACK,F,995045,182822,40.66848252,-73.96108818,"(40.668482524, -73.961088182)"
265185442,114,QUEENS,10/14/2016,12:00:00,1/6/2017,12:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,,PATROL BORO QUEENS NORTH,313,"LARCENY,PETIT BY FALSE PROMISE",FACTORY/WAREHOUSE,3/22/2018,,UNKNOWN,UNKNOWN,U,,UNKNOWN,UNKNOWN,D,1011794,222507,40.77737192,-73.90054988,"(40.777371918, -73.900549875)"
