date,LARCENY-THEFT,AGGRAVATED ASSAULT,BURGLARY,MOTOR VEHICLE THEFT,FRAUD,DRUG OFFENSE,ARSON,MURDER AND NON-NEGLIGENT MANSLAUGHTER,MISC
1/14/2016,30,6,10,4,4,17,0,0,0
1/15/2016,30,7,12,2,7,11,0,0,0
1/16/2016,35,14,12,2,1,5,0,0,0
1/17/2016,34,6,6,1,3,3,0,0,0
1/18/2016,33,12,12,3,0,5,0,0,0
1/19/2016,37,8,7,3,8,9,0,0,0
1/20/2016,22,7,7,0,2,17,0,0,0
1/21/2016,38,6,8,2,6,7,0,0,0
1/22/2016,35,9,11,3,6,5,0,0,0
1/23/2016,24,8,7,4,4,3,0,0,0
1/24/2016,25,7,8,0,1,1,0,0,0
1/25/2016,42,6,13,1,7,6,0,0,0
1/26/2016,36,5,17,5,5,11,0,0,0
1/27/2016,31,7,13,1,6,8,0,0,0
1/28/2016,25,3,7,2,6,8,0,0,0
1/29/2016,38,3,14,3,6,6,0,0,0
1/30/2016,32,6,4,1,2,16,0,0,0
1/31/2016,24,7,7,1,0,14,0,0,0
2/1/2016,34,8,9,4,5,4,0,0,0
2/2/2016,31,8,7,2,9,7,0,0,0
2/3/2016,22,5,8,1,9,13,0,0,0
2/4/2016,37,7,7,7,9,11,0,0,0
2/5/2016,36,3,9,1,10,6,0,0,0
2/6/2016,24,11,9,2,1,6,0,0,1
2/7/2016,25,6,5,1,2,2,0,1,0
2/8/2016,19,7,8,1,6,6,0,0,0
2/9/2016,23,4,7,0,3,9,0,0,0
2/10/2016,29,4,4,1,4,9,0,0,0
2/11/2016,34,6,6,7,3,10,0,0,0
2/12/2016,25,6,8,1,4,4,0,0,0
2/13/2016,24,7,7,2,0,8,0,0,0
2/14/2016,27,5,7,1,2,2,0,0,0
2/15/2016,29,2,4,3,2,3,0,0,0
2/16/2016,29,7,11,3,2,4,0,0,0
2/17/2016,28,5,11,2,5,3,0,0,0
2/18/2016,23,5,3,2,13,17,0,0,0
2/19/2016,23,6,7,2,10,8,0,0,0
2/20/2016,20,9,3,2,2,6,0,0,0
2/21/2016,29,11,1,5,3,3,0,0,0
2/22/2016,40,7,4,4,13,5,0,0,0
2/23/2016,33,5,3,2,9,8,0,0,0
2/24/2016,39,6,6,3,6,6,0,0,0
2/25/2016,29,5,6,1,5,4,0,0,1
2/26/2016,32,5,6,3,11,7,0,0,0
2/27/2016,21,3,1,2,0,3,0,0,0
2/28/2016,33,12,8,1,3,8,0,0,0
2/29/2016,30,5,9,2,2,9,1,0,0
3/1/2016,33,4,6,2,2,6,0,0,0
3/2/2016,36,7,8,4,4,11,0,0,0
3/3/2016,23,7,4,5,9,15,0,1,0
3/4/2016,19,5,10,3,8,11,0,0,0
3/5/2016,22,6,4,5,1,6,0,0,0
3/6/2016,30,7,7,1,2,3,0,0,0
3/7/2016,38,10,2,0,7,2,1,1,0
3/8/2016,27,4,4,2,9,12,0,0,0
3/9/2016,35,9,8,3,8,7,0,0,0
3/10/2016,27,9,5,2,8,7,0,0,0
3/11/2016,32,11,9,3,5,11,0,0,0
3/12/2016,35,10,4,5,0,10,0,0,0
3/13/2016,22,4,3,2,0,6,0,0,0
3/14/2016,33,14,9,6,8,7,0,0,0
3/15/2016,19,1,7,3,7,6,0,0,0
3/16/2016,25,9,2,5,9,10,0,0,0
3/17/2016,27,2,9,3,12,11,0,0,0
3/18/2016,32,13,7,0,5,7,0,0,0
3/19/2016,21,3,8,2,1,3,0,1,0
3/20/2016,31,10,2,3,1,3,0,0,0
3/21/2016,44,7,9,4,11,7,0,0,1
3/22/2016,39,7,8,2,9,9,0,0,0
3/23/2016,22,7,6,3,8,4,0,0,0
3/24/2016,41,4,5,1,8,6,0,0,0
3/25/2016,35,5,13,3,5,14,0,0,0
3/26/2016,40,8,6,1,0,8,0,0,1
3/27/2016,23,4,4,5,0,10,0,0,0
3/28/2016,32,8,10,2,4,3,0,0,0
3/29/2016,35,4,7,3,12,7,0,0,0
3/30/2016,34,9,7,1,10,8,0,0,0
