date,Count,AGGRIVATED ASSAULT,BURGLARY,RAPE,THEFT,FRAUD,MISC,MOTOR VEHICLE THEFT,MURDER AND NON-NEGLIGENT MANSLAUGHTER,ATTEMPT,ARSON,DRUG OFFENSE,OBSCENITY,CONCEALED CARRY LICENSE VIOLATION
3/19/2016,698,145,47,6,83,36,149,21,0,2,1,42,0,0
3/19/2017,604,162,49,8,69,27,144,12,0,3,2,32,0,0
3/19/2018,654,134,63,3,80,39,118,22,0,4,0,40,0,0
3/20/2016,684,170,42,6,77,28,142,22,2,2,1,35,0,0
3/20/2017,691,148,58,8,79,35,157,19,1,6,0,29,0,1
3/20/2018,705,138,49,8,100,39,158,15,1,3,0,44,0,0
3/21/2016,697,154,59,3,74,33,142,26,1,5,3,40,0,0
3/21/2017,647,138,47,6,82,36,147,19,0,1,1,36,1,0
3/21/2018,684,148,41,8,92,43,137,17,2,3,1,35,0,0
3/22/2016,722,175,48,7,90,32,143,20,2,5,1,41,0,0
3/22/2017,646,145,60,2,101,28,139,18,1,3,0,23,0,0
3/22/2018,663,123,49,4,105,28,151,20,1,7,0,37,0,1
3/23/2016,686,147,61,5,98,27,123,25,3,3,2,34,0,1
3/23/2017,664,153,49,2,80,26,143,27,0,1,1,43,0,0
3/23/2018,750,157,51,7,103,34,161,24,3,4,2,57,0,0
3/24/2016,676,146,56,4,79,31,134,26,0,4,1,40,0,0
3/24/2017,777,171,63,3,89,39,147,31,1,1,0,41,0,0
3/24/2018,647,149,41,5,95,37,130,21,0,6,2,27,0,0
3/25/2016,716,147,46,7,101,27,160,25,0,2,0,41,0,0
3/25/2017,694,156,56,4,95,26,146,27,1,4,0,38,0,1
3/25/2018,674,172,44,6,91,24,149,14,1,4,0,41,4,2
3/26/2016,735,170,49,3,86,40,146,20,1,3,2,43,0,0
3/26/2017,702,168,46,5,83,33,147,17,1,5,0,35,0,0
3/26/2018,693,124,47,7,108,38,136,22,0,4,0,39,0,0
3/27/2016,630,158,48,7,74,15,129,18,0,3,1,31,0,0
3/27/2017,721,158,63,5,86,36,141,21,0,6,1,34,1,0
3/27/2018,670,149,57,6,93,31,154,21,0,1,0,31,0,0
3/28/2016,741,162,66,5,88,33,132,18,0,3,1,51,0,0
3/28/2017,673,141,51,5,91,35,148,23,0,5,1,22,0,0
3/28/2018,684,144,48,5,89,33,145,19,0,3,1,50,1,0
3/29/2016,738,164,60,8,90,33,141,24,1,3,4,61,0,0
3/29/2017,669,144,55,5,106,33,138,18,0,2,1,34,0,0
3/29/2018,629,140,40,7,93,35,135,16,2,5,1,40,1,0
3/30/2016,716,166,54,3,88,26,124,13,3,4,1,50,0,0
3/30/2017,686,138,49,4,100,37,145,22,6,3,1,33,0,0
3/30/2018,700,142,48,7,107,39,143,25,0,6,0,32,1,1
3/31/2016,753,191,59,8,98,38,126,20,3,2,0,42,0,0
3/31/2017,774,150,52,6,98,44,157,25,4,5,0,45,0,0
3/31/2018,687,154,41,5,95,33,151,21,0,6,3,39,1,0
4/1/2016,806,144,53,12,87,35,149,16,1,6,2,41,0,0
4/1/2017,806,146,54,13,93,39,151,26,1,4,1,28,0,0
4/1/2018,673,160,49,11,85,26,135,22,3,1,0,29,0,0
4/2/2016,650,131,47,6,91,38,136,19,0,4,0,42,0,0
4/2/2017,690,174,54,6,84,22,147,20,4,4,2,29,0,0
4/2/2018,667,141,44,4,88,30,143,25,0,3,1,41,0,0
4/3/2016,704,180,37,4,87,32,138,13,1,2,1,40,0,0
4/3/2017,689,142,56,5,96,33,141,19,2,2,3,30,0,0
4/3/2018,599,116,38,2,89,39,131,15,1,5,0,42,0,1
4/4/2016,658,128,48,5,83,33,135,22,1,2,1,37,0,0
4/4/2017,711,155,56,6,80,36,165,18,1,3,3,34,0,0
4/4/2018,694,146,52,4,97,36,143,19,1,4,0,32,0,1
4/5/2016,673,120,49,3,81,32,141,13,1,4,2,55,0,0
4/5/2017,631,135,52,4,98,37,115,22,1,3,4,20,1,0
4/5/2018,667,148,40,9,98,40,138,19,1,2,1,30,0,0
4/6/2016,659,141,38,5,92,23,137,12,3,3,1,56,0,0
4/6/2017,665,142,45,7,93,30,128,21,1,4,0,28,0,0
4/6/2018,692,156,42,8,97,42,125,11,2,1,1,33,0,1
4/7/2016,739,149,49,2,88,38,149,24,2,3,1,87,0,0
4/7/2017,702,128,52,4,94,41,149,20,3,3,1,43,0,1
4/7/2018,635,175,38,5,89,29,124,18,2,2,0,40,0,1
4/8/2016,622,116,41,5,89,33,139,29,2,4,2,37,0,0
4/8/2017,693,157,38,8,87,35,145,21,1,3,0,34,0,0
4/8/2018,614,141,34,4,92,35,121,20,1,1,1,35,0,2
4/9/2016,688,136,32,11,97,42,145,26,2,0,1,44,0,0
4/9/2017,759,183,40,13,81,28,159,23,4,4,1,43,0,0
4/9/2018,657,138,40,1,102,28,132,21,0,5,1,35,0,1
4/10/2016,702,155,45,8,82,35,152,21,2,7,2,38,0,0
4/10/2017,682,150,47,5,73,38,130,23,3,6,4,34,0,0
4/10/2018,707,134,46,7,90,31,166,24,1,2,0,48,0,0
4/11/2016,674,139,60,5,95,37,134,23,2,2,1,33,0,0
4/11/2017,702,138,46,5,96,39,152,18,1,2,4,57,0,0
4/11/2018,763,173,55,7,97,24,168,28,2,6,1,36,0,0
4/12/2016,697,142,54,4,98,41,135,18,0,5,1,55,0,0
4/12/2017,725,151,54,8,93,33,158,25,1,2,1,21,0,0
4/12/2018,746,179,49,3,94,41,164,18,1,2,1,33,0,0
4/13/2016,714,166,53,3,78,40,135,28,1,2,4,46,0,0
4/13/2017,663,131,42,9,89,41,143,23,0,2,2,28,0,0
4/13/2018,773,152,45,5,108,31,160,22,2,4,3,44,0,0
4/14/2016,690,138,48,5,92,32,140,16,0,7,1,49,0,0
4/14/2017,772,160,49,10,87,43,170,23,0,2,0,39,0,0
4/14/2018,680,152,49,4,105,38,138,26,0,4,1,29,0,1
4/15/2016,809,147,47,5,115,38,150,27,3,4,1,71,1,0
4/15/2017,814,193,56,6,89,34,168,28,0,2,0,22,0,0
4/15/2018,595,143,46,5,71,31,101,21,1,5,0,27,0,0
4/16/2016,734,184,53,3,83,20,148,20,1,6,2,37,0,0
4/16/2017,686,180,47,9,73,21,168,16,1,2,2,19,0,1
4/16/2018,729,137,66,11,107,36,149,17,2,3,3,21,1,1
4/17/2016,708,175,47,5,82,25,153,24,1,1,1,36,0,0
4/17/2017,739,170,60,8,92,41,147,22,2,5,1,25,0,0
4/17/2018,696,133,58,9,112,38,152,24,1,3,0,30,0,0
4/18/2016,737,154,53,5,98,35,160,21,0,3,3,32,0,0
4/18/2017,735,163,53,5,99,26,160,20,2,5,4,36,0,0
4/18/2018,618,133,49,4,100,38,133,20,1,2,0,19,0,0
4/19/2016,703,157,41,2,111,32,125,21,2,2,4,44,1,0
4/19/2017,756,142,70,7,99,36,151,18,1,4,1,35,0,0
4/19/2018,717,126,52,7,102,42,170,18,1,7,0,42,0,1
4/20/2016,685,133,52,4,87,36,154,21,1,1,1,48,0,0
4/20/2017,712,145,60,7,107,29,152,17,0,7,0,31,0,1
4/20/2018,792,169,50,9,95,39,166,26,0,3,1,48,0,0
4/21/2016,713,160,45,6,92,30,167,19,0,1,1,46,0,0
4/21/2017,813,154,71,4,106,40,152,28,2,2,3,54,0,0
4/21/2018,675,157,42,4,76,34,135,25,4,5,2,41,0,0
4/22/2016,728,142,56,3,100,28,154,26,2,2,2,54,0,0
4/22/2017,701,169,54,6,92,30,140,21,1,4,1,37,0,1
4/22/2018,696,160,49,1,91,31,156,21,0,3,3,33,0,0
4/23/2016,691,165,44,9,80,29,151,16,2,3,1,32,0,1
