date,AGGRAVATED ASSAULT,DRUG OFFENSE,MURDER AND NON-NEGLIGENT MANSLAUGHTER,RAPE,MISC,BURGLARY,LARCENY-THEFT,MOTOR VEHICLE THEFT,ARSON
11/2/2015,3,6,0,0,58,22,33,9,0
11/3/2015,5,2,0,2,61,21,41,7,1
11/4/2015,9,6,0,0,66,22,47,11,0
11/5/2015,7,3,0,0,59,23,41,8,0
11/6/2015,4,6,0,1,70,16,42,8,0
11/7/2015,6,2,0,1,65,20,34,14,0
11/8/2015,3,2,0,2,54,28,30,6,0
11/9/2015,5,4,0,2,64,20,24,9,0
11/10/2015,7,5,0,0,41,18,33,8,0
11/11/2015,4,1,0,3,56,15,29,1,0
11/12/2015,6,5,0,2,50,28,29,13,0
11/13/2015,5,1,0,2,54,32,35,10,0
11/14/2015,2,0,0,4,48,19,29,8,0
11/15/2015,10,2,0,2,52,22,34,8,1
11/16/2015,7,3,0,1,60,30,33,6,1
11/17/2015,9,5,0,1,40,23,43,9,0
11/18/2015,1,2,0,1,65,29,36,10,0
11/19/2015,9,6,0,3,58,27,39,8,0
11/20/2015,4,3,0,5,68,25,41,3,0
11/21/2015,4,2,0,2,59,21,33,3,0
11/22/2015,12,0,0,2,74,18,34,8,1
11/23/2015,7,3,0,4,61,26,34,16,0
11/24/2015,5,2,0,1,74,27,44,7,0
11/25/2015,6,2,0,1,79,26,55,13,0
11/26/2015,4,2,0,1,40,24,22,13,0
11/27/2015,2,0,0,3,43,18,37,9,0
11/28/2015,8,2,0,2,56,16,35,7,0
11/29/2015,3,1,0,3,62,22,30,16,1
11/30/2015,6,3,0,1,54,21,51,11,0
12/1/2015,8,2,0,2,57,27,65,23,0
12/2/2015,2,3,0,1,53,28,36,9,0
12/3/2015,3,7,0,0,53,23,48,14,0
12/4/2015,4,2,0,2,53,22,50,15,0
12/5/2015,3,2,0,3,42,15,37,15,0
12/6/2015,9,0,1,2,58,16,29,24,0
12/7/2015,7,1,0,0,43,30,45,14,0
12/8/2015,2,5,0,0,54,26,30,15,0
12/9/2015,4,2,0,1,45,27,45,8,0
12/10/2015,4,4,0,4,45,33,51,11,0
12/11/2015,7,5,0,4,63,22,39,20,0
12/12/2015,6,1,0,2,45,28,35,12,0
12/13/2015,8,0,1,0,56,17,35,14,0
12/14/2015,6,2,0,2,57,30,39,18,0
12/15/2015,6,1,0,2,62,24,45,14,0
12/16/2015,5,5,0,3,50,26,47,13,1
12/17/2015,4,3,0,2,56,21,37,15,1
12/18/2015,4,1,0,0,59,27,47,15,0
12/19/2015,8,3,0,2,52,15,44,14,0
12/20/2015,4,0,0,2,50,30,32,15,0
12/21/2015,7,2,0,2,53,23,38,10,0
12/22/2015,4,3,0,1,54,24,42,9,0
12/23/2015,8,4,0,0,57,19,47,7,0
12/24/2015,4,3,0,1,43,25,44,15,0
12/25/2015,4,1,0,1,39,21,16,6,2
12/26/2015,7,0,0,0,62,20,33,6,1
12/27/2015,5,2,0,0,36,13,30,12,1
12/28/2015,10,0,0,0,42,15,28,11,0
12/29/2015,4,4,0,1,42,17,43,11,0
12/30/2015,7,4,0,0,47,19,47,12,0
12/31/2015,5,4,0,1,39,24,38,15,0
1/1/2016,12,3,0,14,56,27,49,14,0
1/2/2016,7,4,0,0,70,10,35,10,1
1/3/2016,7,0,0,2,46,13,19,14,0
1/4/2016,7,6,0,5,49,15,28,10,0
1/5/2016,5,2,0,2,60,26,38,14,0
1/6/2016,5,8,0,3,54,19,27,16,1
1/7/2016,6,3,0,2,61,22,33,20,0
1/8/2016,9,3,0,0,49,28,40,10,0
1/9/2016,11,2,0,2,62,20,37,7,0
1/10/2016,5,3,1,2,54,20,19,8,0
1/11/2016,12,4,0,1,58,14,36,10,0
1/12/2016,3,0,0,2,47,19,40,9,0
1/13/2016,3,4,0,4,60,32,32,11,0
1/14/2016,10,5,0,0,63,19,44,10,0
1/15/2016,4,7,0,3,46,31,43,7,0
1/16/2016,7,4,0,2,49,25,35,15,0
1/17/2016,2,3,0,2,48,15,30,8,1
1/18/2016,1,2,0,2,66,25,35,17,0
1/19/2016,2,2,0,2,78,26,51,15,0
1/20/2016,4,1,0,1,79,29,54,17,1
1/21/2016,3,4,0,2,56,32,40,17,0
1/22/2016,9,5,0,2,53,25,39,9,0
1/23/2016,5,1,0,1,60,15,32,13,0
1/24/2016,6,2,0,2,61,21,36,13,0
1/25/2016,7,1,1,0,54,22,39,7,1
1/26/2016,7,2,1,2,53,27,42,8,0
1/27/2016,8,6,0,0,67,35,40,13,0
1/28/2016,1,3,0,5,66,28,47,19,1
1/29/2016,3,4,0,3,63,23,38,16,0
1/30/2016,4,2,0,1,46,18,43,10,1
1/31/2016,7,1,0,2,69,16,32,13,1
2/1/2016,5,5,0,4,55,32,35,6,0
2/2/2016,4,7,1,1,46,26,39,13,0
2/3/2016,5,3,0,6,58,28,34,10,0
2/4/2016,9,6,0,3,65,23,37,10,0
2/5/2016,6,3,0,3,65,41,40,13,0
2/6/2016,7,3,0,2,51,20,31,14,0
2/7/2016,8,0,0,3,63,12,25,12,0
2/8/2016,1,3,0,1,61,18,18,10,0
2/9/2016,7,6,0,2,58,17,32,15,2
2/10/2016,5,3,0,2,48,22,34,14,2
2/11/2016,4,3,0,0,71,30,40,11,1
2/12/2016,7,4,0,3,54,18,32,28,0
2/13/2016,6,5,0,2,64,20,30,13,0
2/14/2016,5,5,0,2,66,13,25,16,0
2/15/2016,6,2,0,1,60,16,30,8,0
2/16/2016,4,10,0,2,79,21,37,17,0
2/17/2016,9,6,0,1,49,13,40,10,0
2/18/2016,6,2,0,2,57,21,43,17,0
2/19/2016,4,7,0,1,71,18,45,11,0
2/20/2016,7,1,0,0,58,26,34,14,1
2/21/2016,9,2,0,1,56,16,36,7,1
2/22/2016,6,5,0,2,50,24,42,8,1
2/23/2016,3,4,0,0,58,24,34,13,0
2/24/2016,6,2,1,2,62,16,41,6,0
2/25/2016,3,2,0,1,64,29,47,13,0
2/26/2016,7,2,0,1,61,28,42,10,0
2/27/2016,6,4,0,0,54,24,39,9,0
2/28/2016,5,4,0,3,52,19,28,11,0
2/29/2016,4,0,1,1,45,27,36,6,0
3/1/2016,7,1,0,4,61,21,36,16,0
3/2/2016,5,4,0,1,51,20,40,15,0
3/3/2016,2,4,0,4,61,28,33,10,0
3/4/2016,2,6,0,5,49,23,33,13,0
3/5/2016,7,1,0,5,46,18,32,12,0
3/6/2016,8,2,0,2,39,17,34,14,0
3/7/2016,4,6,0,7,36,17,29,6,0
3/8/2016,3,5,0,1,37,22,36,7,0
3/9/2016,9,1,0,4,52,19,38,13,0
3/10/2016,8,4,0,2,53,20,28,6,0
3/11/2016,8,2,0,0,43,19,40,11,0
3/12/2016,4,2,0,2,46,14,30,7,0
3/13/2016,9,1,0,3,34,16,25,7,0
3/14/2016,10,4,0,3,41,24,30,12,0
3/15/2016,4,7,0,3,57,21,37,8,0
3/16/2016,7,2,0,3,45,11,28,10,0
3/17/2016,2,3,0,0,56,15,46,10,0
3/18/2016,5,1,0,2,54,31,35,7,0
3/19/2016,4,5,0,1,60,22,32,13,0
3/20/2016,6,0,1,0,51,17,35,6,0
3/21/2016,4,1,0,4,42,22,34,8,0
3/22/2016,7,4,0,2,49,22,36,10,1
3/23/2016,6,1,0,0,57,12,35,6,0
3/24/2016,4,3,0,2,65,23,42,12,0
3/25/2016,7,1,1,3,53,13,41,15,0
3/26/2016,6,4,0,0,60,11,47,12,0
3/27/2016,7,2,0,5,67,19,23,6,0
3/28/2016,4,6,0,0,34,13,24,10,0
3/29/2016,6,4,0,2,47,30,49,8,0
3/30/2016,4,2,1,2,48,22,48,13,0
3/31/2016,5,4,0,4,37,24,38,15,0
4/1/2016,2,6,0,5,58,38,44,7,0
4/2/2016,11,7,1,1,51,19,34,7,1
4/3/2016,3,3,0,3,44,20,19,6,0
4/4/2016,4,3,0,0,53,16,34,11,0
4/5/2016,6,9,0,3,64,18,24,9,0
4/6/2016,1,7,0,1,48,16,35,12,0
4/7/2016,5,1,1,1,57,18,43,12,0
4/8/2016,6,2,0,4,54,23,37,6,0
4/9/2016,4,2,0,2,45,15,42,8,0
