Case Date,LARCENY-THEFT,AGGRAVATED ASSAULT,BURGLARY,MOTOR VEHICLE THEFT,FRAUD,DRUG OFFENSE,ARSON,MURDER AND NON-NEGLIGENT MANSLAUGHTER,MISC
2016-03-20,31,10,2,3,1,3,0,0,0
2016-03-21,44,7,9,4,11,7,0,0,1
2016-03-22,39,7,8,2,9,9,0,0,0
2016-03-23,22,7,6,3,8,4,0,0,0
2016-03-24,41,4,5,1,8,6,0,0,0
2016-03-25,35,5,13,3,5,14,0,0,0
2016-03-26,40,8,6,1,0,8,0,0,1
2016-03-27,23,4,4,5,0,10,0,0,0
2016-03-28,32,8,10,2,4,3,0,0,0
2016-03-29,35,4,7,3,12,7,0,0,0
2016-03-30,34,9,7,1,10,8,0,0,0
2016-03-31,27,2,5,1,9,10,0,0,0
2016-04-01,32,11,5,2,5,10,0,0,0
2016-04-02,37,8,4,6,1,6,0,0,0
2016-04-03,38,8,5,4,1,8,1,0,0
2016-04-04,40,8,8,1,9,9,0,1,0
2016-04-05,29,6,9,2,5,14,0,0,0
2016-04-06,22,11,7,0,6,15,0,0,0
2016-04-07,22,6,5,0,9,6,0,0,0
2016-04-08,35,6,4,3,5,8,0,0,0
2016-04-09,43,9,3,4,0,14,0,0,0
2016-04-10,25,5,6,2,2,4,0,0,0
2016-04-11,30,4,7,2,4,16,0,0,0
2016-04-12,22,7,4,3,4,10,0,0,0
2016-04-13,34,4,7,2,6,5,0,0,0
2016-04-14,39,6,3,2,5,9,0,0,0
2016-04-15,39,10,3,1,10,8,0,0,0
2016-04-16,33,11,11,1,2,6,0,1,0
2016-04-17,31,11,5,3,0,3,0,0,0
2016-04-18,29,3,7,2,6,10,0,0,0
2016-04-19,30,4,9,3,3,12,0,0,0
2016-04-20,22,5,6,2,7,16,0,0,0
2016-04-21,26,8,9,1,5,4,0,0,0
2016-04-22,32,10,9,2,3,6,0,0,1
2016-04-23,33,6,6,0,2,10,0,0,0
2016-04-24,30,6,9,5,4,8,0,0,0
2016-04-25,28,10,15,4,5,3,0,0,0
2016-04-26,35,9,9,6,5,6,0,0,0
2016-04-27,41,8,12,2,7,8,0,0,0
2016-04-28,40,6,9,3,11,7,0,0,0
2016-04-29,27,9,4,4,5,15,0,0,0
2016-04-30,26,8,4,3,5,6,0,0,0
2016-05-01,33,8,6,1,3,2,0,0,0
2016-05-02,34,3,13,1,8,1,0,0,0
2016-05-03,28,3,10,1,3,10,0,0,0
2016-05-04,40,9,8,0,8,6,0,0,0
2016-05-05,28,4,8,8,5,4,0,0,0
2016-05-06,35,12,10,3,5,9,0,0,0
2016-05-07,31,6,7,3,0,9,0,0,0
2016-05-08,45,6,3,3,1,2,0,1,0
2016-05-09,33,10,11,3,1,0,1,0,0
2016-05-10,32,8,14,1,3,9,0,0,0
2016-05-11,41,5,9,4,10,3,0,0,0
2016-05-12,35,13,7,3,4,13,0,0,0
2016-05-13,33,7,5,1,6,2,0,0,0
2016-05-14,32,11,4,2,0,3,0,0,0
2016-05-15,27,8,1,4,1,2,0,0,0
2016-05-16,43,9,6,6,14,4,0,0,0
2016-05-17,39,6,10,2,4,4,1,0,0
2016-05-18,37,12,8,7,5,11,0,0,0
2016-05-19,22,8,7,4,6,13,0,0,0
2016-05-20,40,7,11,3,6,5,0,0,0
2016-05-21,39,5,2,5,2,13,0,0,0
2016-05-22,25,4,5,2,1,10,0,0,0
2016-05-23,44,8,11,8,8,3,0,0,0
2016-05-24,28,3,11,2,3,11,0,0,0
2016-05-25,44,8,11,0,4,12,0,0,0
2016-05-26,41,5,11,3,6,15,1,0,0
2016-05-27,39,8,9,4,3,8,0,1,0
2016-05-28,55,5,3,2,1,3,0,0,0
2016-05-29,28,6,9,5,2,4,0,0,0
2016-05-30,22,6,14,0,1,7,0,1,0
2016-05-31,44,6,12,3,7,6,0,0,0
2016-06-01,32,10,8,1,6,6,0,0,0
2016-06-02,24,11,12,2,9,11,0,0,0
2016-06-03,25,11,11,3,7,14,0,0,0
2016-06-04,40,10,8,6,3,16,0,0,0
2016-06-05,25,9,4,1,1,9,0,0,1
2016-06-06,24,3,8,5,6,5,1,0,0
2016-06-07,30,5,6,3,2,7,0,0,0
2016-06-08,31,6,8,4,7,10,0,0,0
2016-06-09,38,7,9,7,4,16,0,0,0
2016-06-10,28,7,9,1,0,4,0,1,0
2016-06-11,20,10,3,1,1,3,0,0,0
2016-06-12,17,5,5,5,1,0,0,0,0
2016-06-13,59,3,8,5,1,0,0,0,0
2016-06-14,40,3,5,1,8,3,0,0,0
2016-06-15,25,4,10,4,2,3,0,0,0
2016-06-16,28,6,7,4,5,2,0,0,0
2016-06-17,32,6,9,7,3,5,0,0,0
2016-06-18,38,6,2,3,1,0,0,0,0
2016-06-19,27,5,9,4,1,2,0,0,0
2016-06-20,29,5,9,2,4,1,0,0,0
2016-06-21,24,2,7,2,2,5,0,0,0
2016-06-22,36,9,8,7,5,9,0,0,0
2016-06-23,33,4,6,6,5,8,0,0,0
2016-06-24,40,7,3,2,7,1,0,0,1
2016-06-25,30,3,3,3,2,3,0,0,0
