County,Agency,Year,Months Reported,Index Total,Violent Total,Murder,Rape,Robbery,Aggravated Assault,Property Total,Burglary,Larceny,Motor Vehicle Theft,Region
Sullivan,Neversink PCT (NYC-DEPP),2016,12,3,0,0,0,0,0,3,0,3,0,Non-New York City
Sullivan,Sullivan County Park PD,2016,12,1,0,0,0,0,0,1,1,0,0,Non-New York City
Sullivan,Sullivan County Sheriff,2016,12,324,29,1,0,3,25,295,56,234,5,Non-New York City
Sullivan,Sullivan County State Police,2016,12,364,95,1,57,2,35,269,87,168,14,Non-New York City
Sullivan,Woodridge Vg PD,2016,12,28,7,0,0,2,5,21,5,16,0,Non-New York City
Tioga,County Total,2016,,463,63,1,25,4,33,400,79,302,19,Non-New York City
Tioga,Owego Vg PD,2016,12,145,18,0,5,1,12,127,15,107,5,Non-New York City
Tioga,Tioga County Sheriff,2016,12,198,16,1,2,1,12,182,51,120,11,Non-New York City
Tioga,Tioga County State Police,2016,12,108,24,0,18,1,5,84,13,68,3,Non-New York City
Tioga,Waverly Vg PD,2016,12,12,5,0,0,1,4,7,0,7,0,Non-New York City
Tompkins,Cayuga Heights Vg PD,2016,12,48,2,0,0,0,2,46,6,40,0,Non-New York City
Tompkins,Cornell University Police,2016,12,224,7,0,4,1,2,217,19,196,2,Non-New York City
Tompkins,County Total,2016,,1868,148,2,55,21,70,1720,226,1459,35,Non-New York City
Tompkins,Dryden Vg PD,2016,12,60,5,0,2,0,3,55,9,46,0,Non-New York City
Tompkins,Groton Vg PD,2016,12,45,3,0,1,0,2,42,1,40,1,Non-New York City
Tompkins,Ithaca City PD,2016,12,968,72,2,10,19,41,896,90,787,19,Non-New York City
Tompkins,Ithaca College PD,2016,12,100,10,0,10,0,0,90,11,78,1,Non-New York City
Tompkins,Tompkins County Park PD,2016,12,21,0,0,0,0,0,21,5,16,0,Non-New York City
Tompkins,Tompkins County Sheriff,2016,2,66,2,0,2,0,0,64,14,48,2,Non-New York City
Tompkins,Tompkins County State Police,2016,12,289,47,0,26,1,20,242,64,168,10,Non-New York City
Tompkins,Trumansburg Vg PD,2016,12,47,0,0,0,0,0,47,7,40,0,Non-New York City
Ulster,County Total,2016,,2640,295,4,75,36,180,2345,396,1884,65,Non-New York City
Ulster,Ellenville Vg PD,2016,12,129,15,1,2,2,10,114,23,90,1,Non-New York City
Ulster,Kingston City PD,2016,12,560,76,0,10,23,43,484,57,418,9,Non-New York City
Ulster,Lloyd Town PD,2016,12,102,7,0,1,0,6,95,8,81,6,Non-New York City
Ulster,Marlborough Town PD,2016,12,79,7,0,0,3,4,72,18,51,3,Non-New York City
