Date,MOTOR VEHICLE THEFT,LARCENY-THEFT,RAPE,DRUG OFFENSE,BURGLARY,AGGRAVATED ASSAULT,MURDER AND NON-NEGLIGENT MANSLAUGHTER,ROBBERY,ARSON
03/30/2017,11,71,1,5,40,5,0,3,0
03/30/2018,17,68,2,6,19,3,0,2,0
03/31/2016,9,71,1,3,23,7,0,3,0
03/31/2017,14,63,3,8,24,8,2,1,0
03/31/2018,20,47,1,6,24,8,0,7,1
04/01/2016,16,75,5,4,31,6,1,5,0
04/01/2017,21,70,11,6,40,7,0,0,0
04/01/2018,16,67,5,5,25,10,1,5,0
04/02/2016,19,66,1,3,18,5,0,4,0
04/02/2017,16,66,0,4,30,4,1,3,0
04/02/2018,17,79,1,4,22,8,0,6,0
04/03/2016,19,57,0,3,22,6,0,3,0
04/03/2017,11,55,2,11,22,3,0,5,0
04/03/2018,8,54,3,5,24,6,1,2,1
04/04/2016,19,59,0,7,27,4,0,3,0
04/04/2017,15,76,3,3,21,5,0,4,1
04/04/2018,13,51,0,7,26,3,0,3,1
04/05/2016,13,72,2,6,36,9,0,4,0
04/05/2017,15,72,1,5,27,6,0,4,0
04/05/2018,16,68,1,6,20,10,0,5,0
04/06/2016,26,54,1,2,17,6,0,5,0
04/06/2017,18,58,2,4,28,6,0,4,0
04/06/2018,14,52,3,2,18,5,0,3,0
04/07/2016,19,86,0,11,31,2,0,4,1
04/07/2017,16,65,5,6,36,13,0,6,0
04/07/2018,18,51,2,5,20,6,0,7,1
04/08/2016,19,68,2,5,35,5,0,5,0
04/08/2017,17,51,3,5,19,11,1,2,0
04/08/2018,10,51,0,6,12,7,0,2,0
04/09/2016,15,74,5,7,16,3,0,4,0
04/09/2017,8,56,4,5,18,3,0,5,0
04/09/2018,18,73,3,5,23,3,0,2,0
04/10/2016,16,63,2,5,18,4,0,4,0
04/10/2017,11,62,0,4,25,5,0,1,0
04/10/2018,13,62,2,3,22,6,0,2,0
04/11/2016,18,60,0,6,30,7,0,1,0
04/11/2017,23,69,0,7,21,8,0,3,0
04/11/2018,17,54,1,8,13,5,0,2,0
04/12/2016,15,77,0,2,31,5,0,3,0
04/12/2017,17,63,1,4,31,5,1,6,0
04/12/2018,9,46,1,6,23,8,0,5,0
04/13/2016,20,51,1,7,30,5,1,4,0
04/13/2017,13,64,3,4,23,8,0,4,0
04/13/2018,16,54,1,10,18,2,0,3,0
04/14/2016,8,63,1,6,31,6,1,3,0
04/14/2017,23,63,1,5,35,5,0,3,1
04/14/2018,14,45,1,4,15,13,0,2,0
04/15/2016,12,78,3,3,39,4,0,4,1
04/15/2017,14,63,3,7,28,5,0,5,0
04/15/2018,10,49,4,6,15,6,0,2,1
04/16/2016,21,80,0,3,23,7,1,3,0
04/16/2017,21,60,3,5,26,10,0,5,2
04/16/2018,14,60,0,9,28,8,0,3,1
04/17/2016,19,50,5,1,16,10,0,3,0
04/17/2017,14,53,2,5,33,5,0,2,0
04/17/2018,12,57,0,5,36,6,1,5,0
04/18/2016,14,61,4,3,30,7,0,2,0
04/18/2017,8,52,4,5,20,8,0,5,0
04/18/2018,18,57,0,9,24,0,0,5,0
04/19/2016,22,52,2,4,25,7,2,2,0
04/19/2017,12,58,2,5,26,10,0,2,1
04/19/2018,13,57,1,7,23,5,0,2,0
04/20/2016,14,69,1,10,30,5,0,4,0
04/20/2017,19,67,0,5,22,9,1,2,0
04/20/2018,15,65,2,11,36,7,0,3,0
04/21/2016,14,58,0,4,30,3,0,4,0
04/21/2017,15,49,4,11,37,11,0,5,0
04/21/2018,22,56,1,5,24,9,0,5,0
04/22/2016,18,58,0,5,43,1,0,6,0
04/22/2017,22,66,3,2,28,10,3,0,0
04/22/2018,18,58,1,11,12,7,1,3,1
04/23/2016,26,48,4,4,27,8,1,2,0
04/23/2017,12,66,1,6,23,10,0,7,1
04/23/2018,15,59,2,2,16,4,1,0,0
04/24/2016,18,49,2,4,26,12,0,6,0
04/24/2017,17,72,2,6,33,10,0,6,0
04/24/2018,8,50,0,10,28,5,0,4,0
04/25/2016,21,65,1,3,32,5,0,2,0
04/25/2017,13,64,3,2,32,9,0,9,0
04/25/2018,18,69,1,4,32,4,0,2,0
