Dispatch_Date,AGGRAVATED ASSAULT,MISC,MOTOR VEHICLE THEFT,BURGLARY,ARSON,ROBBERY,RAPE,DRUG OFFENSE,MURDER AND NON-NEGLIGENT MANSLAUGHTER
2/27/2007,104,287,122,23,0,30,3,64,0
2/28/2007,106,261,118,28,1,21,3,58,1
3/1/2007,115,235,122,24,1,22,3,52,2
3/2/2007,115,240,108,28,0,30,5,56,0
3/3/2007,103,266,129,20,0,24,2,67,1
3/4/2007,91,283,124,25,2,23,2,66,1
3/5/2007,100,252,128,32,3,24,6,56,2
3/6/2007,112,218,113,21,2,19,3,55,2
3/7/2007,79,207,104,26,3,23,5,57,0
3/8/2007,102,243,99,26,0,17,9,52,0
3/9/2007,101,217,126,28,1,23,3,47,1
3/10/2007,99,302,119,23,3,33,7,61,0
3/11/2007,79,239,117,25,0,27,0,47,2
3/12/2007,95,283,140,37,1,31,4,49,4
3/13/2007,106,337,139,31,2,22,3,93,1
3/14/2007,129,330,123,20,3,18,2,57,1
3/15/2007,129,281,126,32,1,22,4,54,1
3/16/2007,62,164,95,13,5,14,3,25,0
3/17/2007,53,151,74,13,1,18,3,32,1
3/18/2007,108,214,90,16,2,12,3,40,0
3/19/2007,98,216,100,23,0,27,5,59,1
3/20/2007,106,309,125,28,3,21,4,71,2
3/21/2007,119,293,117,25,2,31,3,73,2
3/22/2007,126,321,121,29,1,16,2,58,0
3/23/2007,114,267,137,27,1,29,4,53,1
3/24/2007,89,291,112,19,2,28,1,84,1
3/25/2007,94,294,119,23,3,28,3,51,3
3/26/2007,122,280,138,29,2,24,2,57,2
3/27/2007,109,367,137,26,2,29,2,65,1
3/28/2007,108,319,134,28,1,23,4,60,0
3/29/2007,124,290,131,21,0,26,3,62,2
3/30/2007,134,290,114,22,0,27,0,70,2
3/31/2007,106,278,121,23,4,22,5,60,3
4/1/2007,90,327,114,25,3,31,3,68,2
4/2/2007,83,323,154,22,1,28,2,63,0
4/3/2007,95,352,136,28,1,21,2,70,0
4/4/2007,76,369,134,22,2,18,3,68,1
4/5/2007,65,344,148,20,0,24,4,59,0
4/6/2007,78,286,132,23,0,21,2,60,2
4/7/2007,81,323,127,18,0,28,1,69,0
4/8/2007,65,195,79,24,2,32,1,60,2
4/9/2007,73,258,134,24,3,31,2,66,0
4/10/2007,108,315,91,34,1,21,3,60,0
4/11/2007,105,294,122,26,2,18,4,60,0
4/12/2007,100,286,138,30,0,23,2,71,1
4/13/2007,118,219,127,37,2,37,0,65,1
4/14/2007,94,273,118,25,1,24,3,71,1
4/15/2007,89,171,92,20,3,25,2,42,1
4/16/2007,109,203,118,33,1,15,7,42,2
4/17/2007,111,293,120,27,1,24,2,49,0
4/18/2007,132,328,139,42,0,26,2,75,0
4/19/2007,123,304,148,28,1,24,1,67,0
4/20/2007,121,222,111,28,3,28,4,58,1
4/21/2007,121,275,122,16,2,22,2,62,7
4/22/2007,111,326,130,30,4,24,2,44,2
4/23/2007,119,272,145,36,3,24,5,34,1
4/24/2007,143,319,133,36,0,24,2,63,1
4/25/2007,136,330,127,27,3,20,1,55,2
